,concentration,value,condition,replicate
0,100.0,1.2395,water,1
1,50.0,1.2575,water,1
2,25.0,1.2755,water,1
3,10.0,1.2225,water,1
4,5.0,1.1525,water,1
5,1.0,0.7285,water,1
6,0.5,0.4485,water,1
7,0.25,0.2295,water,1
8,0.1,0.0655,water,1
9,0.05,0.0265,water,1
10,0.01,0.0055,water,1
11,0.005,-0.0195,water,1
12,100.0,1.2065,water,2
13,50.0,1.2025,water,2
14,25.0,1.2165,water,2
15,10.0,1.1465,water,2
16,5.0,1.0435,water,2
17,1.0,0.5705,water,2
18,0.5,0.3165,water,2
19,0.25,0.1355,water,2
20,0.1,0.0095,water,2
21,0.05,-0.0195,water,2
22,0.01,-0.0105,water,2
23,0.005,-0.0365,water,2
24,100.0,0.48975,BSK-II,1
25,50.0,0.50675,BSK-II,1
26,25.0,0.49675,BSK-II,1
27,10.0,0.53775,BSK-II,1
28,5.0,0.48675,BSK-II,1
29,1.0,0.38675,BSK-II,1
30,0.5,0.31775,BSK-II,1
31,0.25,0.20175,BSK-II,1
32,0.1,0.06775,BSK-II,1
33,0.05,0.01675,BSK-II,1
34,0.01,-0.01225,BSK-II,1
35,0.005,0.00675,BSK-II,1
36,100.0,0.43275,BSK-II,2
37,50.0,0.42475,BSK-II,2
38,25.0,0.43375,BSK-II,2
39,10.0,0.46675,BSK-II,2
40,5.0,0.42175,BSK-II,2
41,1.0,0.30075,BSK-II,2
42,0.5,0.22975,BSK-II,2
43,0.25,0.12575,BSK-II,2
44,0.1,0.00675,BSK-II,2
45,0.05,-0.02725,BSK-II,2
46,0.01,-0.03525,BSK-II,2
47,0.005,-0.02225,BSK-II,2
48,100.0,1.0265,mixed-BSK-II-filt,1
49,50.0,1.0095,mixed-BSK-II-filt,1
50,25.0,0.9985,mixed-BSK-II-filt,1
51,10.0,0.9675,mixed-BSK-II-filt,1
52,5.0,0.9055,mixed-BSK-II-filt,1
53,1.0,0.6045,mixed-BSK-II-filt,1
54,0.5,0.4095,mixed-BSK-II-filt,1
55,0.25,0.2115,mixed-BSK-II-filt,1
56,0.1,0.0665,mixed-BSK-II-filt,1
57,0.05,0.0455,mixed-BSK-II-filt,1
58,0.01,0.0135,mixed-BSK-II-filt,1
59,0.005,0.0165,mixed-BSK-II-filt,1
60,100.0,0.9955,mixed-BSK-II-filt,2
61,50.0,0.9805,mixed-BSK-II-filt,2
62,25.0,0.9655,mixed-BSK-II-filt,2
63,10.0,0.9135,mixed-BSK-II-filt,2
64,5.0,0.8335,mixed-BSK-II-filt,2
65,1.0,0.5065,mixed-BSK-II-filt,2
66,0.5,0.3285,mixed-BSK-II-filt,2
67,0.25,0.1225,mixed-BSK-II-filt,2
68,0.1,0.0155,mixed-BSK-II-filt,2
69,0.05,0.0125,mixed-BSK-II-filt,2
70,0.01,-0.0105,mixed-BSK-II-filt,2
71,0.005,-0.0075,mixed-BSK-II-filt,2
72,100.0,1.0295,3kDa-filt-BSK-II,1
73,50.0,1.0095,3kDa-filt-BSK-II,1
74,25.0,0.9915,3kDa-filt-BSK-II,1
75,10.0,0.9615,3kDa-filt-BSK-II,1
76,5.0,0.8995,3kDa-filt-BSK-II,1
77,1.0,0.5515,3kDa-filt-BSK-II,1
78,0.5,0.3525,3kDa-filt-BSK-II,1
79,0.25,0.1645,3kDa-filt-BSK-II,1
80,0.1,0.0645,3kDa-filt-BSK-II,1
81,0.05,0.0545,3kDa-filt-BSK-II,1
82,0.01,0.0145,3kDa-filt-BSK-II,1
83,0.005,0.0305,3kDa-filt-BSK-II,1
84,100.0,0.9705,3kDa-filt-BSK-II,2
85,50.0,0.9665,3kDa-filt-BSK-II,2
86,25.0,0.9795,3kDa-filt-BSK-II,2
87,10.0,0.8785,3kDa-filt-BSK-II,2
88,5.0,0.7975,3kDa-filt-BSK-II,2
89,1.0,0.4645,3kDa-filt-BSK-II,2
90,0.5,0.2555,3kDa-filt-BSK-II,2
91,0.25,0.1105,3kDa-filt-BSK-II,2
92,0.1,0.0165,3kDa-filt-BSK-II,2
93,0.05,0.0135,3kDa-filt-BSK-II,2
94,0.01,-0.0085,3kDa-filt-BSK-II,2
95,0.005,-0.0445,3kDa-filt-BSK-II,2
